status_id,screen_name,text
832421505778618368,lopezobrador_,Josefina Vázquez Mota debe informar qué hizo con los mil millones pesos que autorizó EPN. Basta corrupción hipocresía PRIANISTA.
833130565087985664,lopezobrador_,burla perdonan: bajaron centavos gasolina. Guatemala hay petróleo más barata gasolina que México. Corruptos.
833501308548177921,lopezobrador_,Martín Moreno votará por mí. Comprendo. mal escritor dedicado explotar ignorancia conservadurismo sociedad. Gracias
833895239211364357,lopezobrador_,Chicago dije que iremos Nueva York (ONU) Washington (CIDH) marzo denunciar órdenes-Trump
834183763923841024,lopezobrador_,Entérate apoya con firma denuncia contra las órdenes Donald Trump
834565985583525888,lopezobrador_,"Qué república qué ocho cuartos, monarquía moronga azul. Corrupta hipócrita."
835297483521564672,lopezobrador_,"Salieron defender Yunes Linares, Calderón, esposa, Anaya, del PRI una cosa que llama FEPADE, fin, toda maleantada."
835903628388990976,lopezobrador_,"2010, trasnacional Odebrecht entregó sobornos para operar una planta petroquímica México. Debe investigarse Calderón socios."
836417496420925440,lopezobrador_,"Calderón dice donará sueldo como expresidente, que recibe pensión. 54.2 mdp costará mantenerlo 50.8 millones año"
836745914022682624,lopezobrador_,¡Las pensiones los expresidentes México las tiene Obama!
837128556148711424,lopezobrador_,Les comparto alegría del pueblo Valle Chalco.
837507963510194177,lopezobrador_,"Aún cuando PGR está servicio del PRIAN, presentará denuncia contra Josefina Vázquez Mota, por los mil millones que autorizó EPN."
837785090579050497,lopezobrador_,Pronto terminará con los privilegios los pequeños faraones del PRIAN.
837848651301007360,lopezobrador_,Estuvimos con maestra Delfina Atlacomulco. Nada tiene que ver este pueblo humilde trabajador con grupo corrupto ese nombre.
838230622212497408,lopezobrador_,"Nos atacan porque MORENA está primer lugar las encuestas como dice canción Amaury, ""no van impedir"", triunfaremos."
838437747299790848,lopezobrador_,"Estamos contra los políticos corruptos los traficantes influencias, los empresarios honestos."
839161116097933312,lopezobrador_,"Lamento fallecimiento Jesús Silva-Herzog. recuerdo bien, hijo del gran don Jesús, inteligente, honrado con sentido del humor."
839492062324146178,lopezobrador_,Apoya firmando denuncia contra muro persecución migrantes. Llena formato que encontrarás liga
839626153707069440,lopezobrador_,Les comparto entrevista que hicieron Imagen Noticias con motivo del Día Mujer
839960581104766976,lopezobrador_,Yunes impuso hijo candidato del PAN Veracruz Pánuco que fue contralor Duarte gran corrupto quiere debatir: ¡safo!
840385543770849280,lopezobrador_,"Veracruz, Yunes, vez aplicar plan austeridad, solo tres meses aumentado deuda que dejó Duarte mil 500 mdp."
840746742203219968,lopezobrador_,"Llevamos días Veracruz, visitando municipios. par, estamos avisando familiares migrantes que lunes estaremos New York"
840996972752441352,lopezobrador_,Apoyemos con nuestra firma denuncia defensa nuestros paisanos migrantes
841296221704609792,lopezobrador_,"Como decía Zapata: ""el que tenga miedo, que pase firmar""."
841353621799337984,lopezobrador_,"Según Reforma, Yunes, gobernador corrupto Veracruz, justiciero nosotros malvados. ¿Vale más ser cómplice que decir verdad?"
841477203971911680,lopezobrador_,"Gracias: rebasamos las mil firmas favor migrantes. permite nieve anunciada, mafia los provocadores, mañana ONU."
841706394780868610,lopezobrador_,"Por nieve cerraron oficinas ONU, todas maneras dejaremos comisionado Derechos Humanos escrito defensa migrantes."
842132700924338177,lopezobrador_,Salimos Washington México.Cumplimos con denuncia ante CIDH.En entregó carta comisionado ONU
842539760941903873,lopezobrador_,"retracta Proceso sin dejar editorializar. Supone que cállate parte ""el acento del aludido"". Paladines objetividad"
842575534756311040,lopezobrador_,"Está moda provocarnos, ahora Chong que sube ring. ¿Qué les pasa, por qué tanto nerviosismo? vean encuestas. Serénense."
843197632180899840,lopezobrador_,Oaxaca firmamos Acuerdo Unidad por Prosperidad del Pueblo Renacimiento México conmemoramos expropiación petrolera
